,Type,Well-behavedness,Formula,Baseline,RantaI,RantaII
0,GGC,WB,"∀ w ( ( Dodec ( w ) ∧ ¬ ∃ x RightOf ( x , w ) ) → ∃ y LeftOf ( y , w ) )","For all w, if w is a dodecahedron and it is not the case that there is an element x such that x is to the right of w, then there is an element y such that y is to the left of w.","For all w, if w is a dodecahedron and it is not the case that there is an element x such that x is to the right of w, then there is an element y such that y is to the left of w.","For all dodecahedrons w, something is to the right of w or something is to the left of w."
1,GGC,WB,"¬ ∃ x ∃ y ( LeftOf ( x , a ) ∧ LeftOf ( y , b ) ∧ Smaller ( x , y ) )",It is not the case that there is an element x such that there is an element y such that x is to the left of a and y is to the left of b and x is smaller than y.,"It is not the case that there is an element x such that there is an element y such that x is to the left of a, y is to the left of b and x is smaller than y.","For all x, for all y, x is not to the left of a, y is not to the left of b or x is not smaller than y."
2,GGC,WB,"∃ x ( Large ( x ) ∧ Cube ( x ) ∧ ∀ y ( ( Cube ( y ) ∧ Small ( y ) ) → FrontOf ( x , y ) ) )","There is an element x such that x is large and x is a cube and for all y, if y is a cube and y is small, then x is in front of y.","There is an element x such that x is large, x is a cube and for all y, if y is a cube and y is small, then x is in front of y.","There is an element x such that x is large, x is a cube and x is in front of every small cube."
3,GGC,NWB,"∀ x ∃ y ( Dodec ( x ) → ( ∃ y ( Cube ( y ) ∧ LeftOf ( x , y ) ) → Large ( x ) ) )","For all x, there is an element y such that if x is a dodecahedron, then if there is an element y such that y is a cube and x is to the left of y, then x is large.","For all x, there is an element y such that if x is a dodecahedron, then if x is to the left of some cube, then x is large.","For all dodecahedrons x, if x is to the left of some cube, then x is large."
4,GGC,WB,∀ x ( Dodec ( x ) → ¬ ( Dodec ( x ) ∧ Small ( x ) ) ),"For all x, if x is a dodecahedron, then it is not the case that x is a dodecahedron and x is small.","For all dodecahedrons x, it is not the case that x is a dodecahedron and x is small.","For all dodecahedrons x, x is not small."
5,GGC,WB,∃ x ∃ y ( Cube ( x ) ∧ Tet ( y ) ) ∧ ∀ z ( Cube ( z ) ∨ Tet ( z ) ),"There is an element x such that there is an element y such that x is a cube and y is a tetrahedron and for all z, z is a cube or z is a tetrahedron.","There is an element x such that there is an element y such that x is a cube and y is a tetrahedron and for all z, z is a cube or z is a tetrahedron.","There is an element y such that there is a cube x such that y is a tetrahedron and for all z, z is a cube or z is a tetrahedron."
6,GGC,WB,"∀ y ( Dodec ( y ) → ¬ ∃ x BackOf ( x , y ) )","For all y, if y is a dodecahedron, then it is not the case that there is an element x such that x is in back of y.","For all dodecahedrons y, it is not the case that there is an element x such that x is in back of y.",Nothing is in back of every dodecahedron.
7,GGC,WB,"∃ w ( Large ( w ) ∧ Cube ( w ) ∧ RightOf ( b , w ) )",There is an element w such that w is large and w is a cube and b is to the right of w.,"There is an element w such that w is large, w is a cube and b is to the right of w.",There is a cube w such that b is to the right of w and w is large.
8,GGC,WB,"Small ( c ) → ( RightOf ( c , a ) ∧ Small ( c ) )","If c is small, then c is to the right of a and c is small.","If c is small, then c is to the right of a and small.","If c is small, then c is to the right of a and small."
9,GGC,WB,"∃ x ∃ y ( Cube ( x ) ∧ Cube ( y ) ∧ Large ( x ) ∧ Small ( y ) ∧ FrontOf ( x , y ) )",There is an element x such that there is an element y such that x is a cube and y is a cube and x is large and y is small and x is in front of y.,"There is an element x such that there is an element y such that x is a cube, y is a cube, x is large, y is small and x is in front of y.","There is an element x such that there is a cube y such that x is large, y is small, x is in front of y and x is a cube."
10,GGC,NWB,"∃ x ( Larger ( a , x ) ∧ Cube ( x ) ) → ¬ ∃ y ( Tet ( y ) ∧ ¬ Smaller ( a , y ) )","If there is an element x such that a is larger than x and x is a cube, then it is not the case that there is an element y such that y is a tetrahedron and it is not the case that a is smaller than y.","If there is an element x such that a is larger than x and x is a cube, then it is not the case that there is a tetrahedron y such that a is not smaller than y.","If a is larger than some cube, then a is smaller than every tetrahedron."
11,GGC,NWB,"¬ ( Larger ( b , a ) → ¬ Larger ( b , e ) )","It is not the case that if b is larger than a, then it is not the case that b is larger than e.","It is not the case that if b is larger than a, then b is not larger than e.",B is larger than a and larger than e.
12,GGC,WB,"BackOf ( f , a ) ∨ ( ¬ BackOf ( f , a ) ∧ Smaller ( f , a ) )",F is in back of a or it is not the case that f is in back of a and f is smaller than a.,At least one of these holds : \n\t• f is in back of a \n\t• f is not in back of a and f is smaller than a.,At least one of these holds : \n\t• f is in back of a \n\t• f is not in back of a and f is smaller than a.
13,GGC,WB,"∃ z ( Large ( z ) ∧ Cube ( z ) ∧ BackOf ( z , c ) ∧ LeftOf ( z , b ) )",There is an element z such that z is large and z is a cube and z is in back of c and z is to the left of b.,"There is an element z such that z is large, z is a cube, z is in back of c and z is to the left of b.","Some cube is in back of c, to the left of b and large."
14,GGC,NWB,∀ x ¬ ∃ x Cube ( x ),"For all x, it is not the case that there is an element x such that x is a cube.","For all x, it is not the case that there is an element x such that x is a cube.",Nothing is a cube.
15,GGC,WB,"∀ x ( RightOf ( a , x ) → ¬ Cube ( x ) )","For all x, if a is to the right of x, then it is not the case that x is a cube.","For all x, if a is to the right of x, then x is not a cube.","For all cubes x, a is not to the right of x."
16,GGC,WB,"∀ z ∃ u ( ( Dodec ( z ) ∧ ¬ RightOf ( u , z ) ) → Small ( z ) )","For all z, there is an element u such that if z is a dodecahedron and it is not the case that u is to the right of z, then z is small.","For all z, there is an element u such that if z is a dodecahedron and u is not to the right of z, then z is small.","For all z, if for all u, z is a dodecahedron and u is not to the right of z, then z is small."
17,GGC,WB,"¬ ∀ y ∀ x ( ( Tet ( x ) ∧ Tet ( y ) ) → SameCol ( x , y ) )","It is not the case that for all y, for all x, if x is a tetrahedron and y is a tetrahedron, then x is in the same column as y.","It is not the case that for all y, for all x, if x is a tetrahedron and y is a tetrahedron, then x is in the same column as y.","It is not the case that for all y, for all tetrahedrons x, y is not a tetrahedron or x is in the same column as y."
18,GGC,WB,"Smaller ( b , d ) ∧ Smaller ( b , e ) ∧ FrontOf ( b , d ) ∧ FrontOf ( b , e )",B is smaller than d and b is smaller than e and b is in front of d and b is in front of e.,"B is smaller than d, smaller than e, in front of d and in front of e.","B is smaller than d, smaller than e, in front of d and in front of e."
19,GGC,WB,Tet ( c ) → ¬ Tet ( a ),"If c is a tetrahedron, then it is not the case that a is a tetrahedron.","If c is a tetrahedron, then a is not a tetrahedron.","If c is a tetrahedron, then a is not a tetrahedron."
20,GGC,WB,"∃ x ∃ y ( Tet ( x ) ∧ Tet ( y ) ∧ ( LeftOf ( x , y ) ∨ RightOf ( x , y ) ) )",There is an element x such that there is an element y such that x is a tetrahedron and y is a tetrahedron and x is to the left of y or x is to the right of y.,"There is an element x such that there is an element y such that x is a tetrahedron, y is a tetrahedron and x is to the left of y or to the right of y.",There is an element y such that there is a tetrahedron x such that y is a tetrahedron and x is to the right of y or to the left of y.
0,RG,WB,"∀ x ( Large ( a ) ∨ Tet ( x ) ) ∧ ∀ x ( FrontOf ( b , x ) → Student ( x ) )","For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.","For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student.","For all x, a is large or x is a tetrahedron and for all x, if b is in front of x, then x is a student."
1,RG,WB,¬ ( Small ( a ) ∨ Tet ( b ) ) → ∀ x Cube ( x ),"If it is not the case that a is small or b is a tetrahedron, then for all x, x is a cube.","If it is not the case that a is small or b is a tetrahedron, then for all x, x is a cube.","B is a tetrahedron, a is small or everything is a cube."
2,RG,WB,"∃ x ( ( Larger ( x , a ) ∧ Cube ( b ) ) ∨ LeftOf ( c , c ) )",There is an element x such that x is larger than a and b is a cube or c is to the left of c.,There is an element x such that at least one of these holds : \n\t• x is larger than a and b is a cube \n\t• c is to the left of itself.,There is an element x such that at least one of these holds : \n\t• x is larger than a and b is a cube \n\t• c is to the left of itself.
3,RG,NWB,"∀ x ( ∃ x Even ( a ) → ∀ y BackOf ( x , x ) )","For all x, if there is an element x such that a is even, then for all y, x is in back of x.","For all x, if there is an element x such that a is even, then for all y, x is in back of itself.","If a is even, then everything is in back of itself."
4,RG,WB,"∃ x ( ¬ RightOf ( a , x ) → ( Prime ( b ) ∧ Pet ( x ) ) )","There is an element x such that if it is not the case that a is to the right of x, then b is a prime and x is a pet.","There is an element x such that if a is not to the right of x, then b is a prime and x is a pet.",There is a pet x such that b is a prime or a is to the right of something.
5,RG,NWB,"( ¬ Adjoins ( a , b ) ∧ ¬ Small ( a ) ) ∧ ∃ x ∀ y Medium ( y )","It is not the case that a is adjacent to b and it is not the case that a is small and there is an element x such that for all y, y is medium.","A is not adjacent to b, a is not small and there is an element x such that for all y, y is medium.","A is not adjacent to b, a is not small and everything is medium."
6,RG,NWB,( ∀ x Medium ( a ) ∧ ¬ Tet ( a ) ) ∨ ( ∃ x Student ( x ) → ∃ y Dodec ( b ) ),"For all x, a is medium and it is not the case that a is a tetrahedron or if there is an element x such that x is a student, then there is an element y such that b is a dodecahedron.","At least one of these holds : \n\t• for all x, a is medium and a is not a tetrahedron \n\t• if there is an element x such that x is a student, then there is an element y such that b is a dodecahedron.","At least one of these holds : \n\t• a is medium and a is not a tetrahedron, nothing is a student \n\t• b is a dodecahedron."
7,RG,NWB,"( ¬ BackOf ( a , b ) → ∀ x Larger ( x , b ) ) → ∃ y ( FrontOf ( y , y ) ∨ Student ( y ) )","If if it is not the case that a is in back of b, then for all x, x is larger than b, then there is an element y such that y is in front of y or y is a student.","If if a is not in back of b, then for all x, x is larger than b, then there is an element y such that y is in front of itself or y is a student.","If a is in back of b or everything is larger than b, then something is in front of itself or something is a student."
8,RG,NWB,"( Large ( a ) → ∀ x SameCol ( a , a ) ) → Large ( a )","If if a is large, then for all x, a is in the same column as a, then a is large.","If if a is large, then for all x, a is in the same column as itself, then a is large.","If if a is large, then a is in the same column as itself, then a is large."
9,RG,NWB,¬ ¬ Small ( a ) ∨ ( ¬ Student ( b ) → ¬ Student ( a ) ),"It is not the case that it is not the case that a is small or if it is not the case that b is a student, then it is not the case that a is a student.","At least one of these holds : \n\t• it is not the case that a is not small \n\t• if b is not a student, then a is not a student.","B is a student, a is not a student or a is small."
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",There is an element x such that it is not the case that it is not the case that x is to the left of a.,There is an element x such that it is not the case that x is not to the left of a.,Something is to the left of a.
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",There is an element x such that x is a prime or a is a person and x is in the same row as b and x is a student.,"There is an element x such that all these hold : \n\t• x is a prime or a is a person, x is in the same row as b \n\t• x is a student.",There is a student x such that all these hold : \n\t• a is a person or x is a prime \n\t• x is in the same row as b.
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",It is not the case that it is not the case that a is a dodecahedron or there is an element x such that x is in back of x.,It is not the case that a is not a dodecahedron or there is an element x such that x is in back of itself.,Nothing is in back of itself and a is a dodecahedron.
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )","If a is medium, then for all x, it is not the case that b is of the same size as a.","If a is medium, then for all x, b is not of the same size as a.",B is not of the same size as a or a is not medium.
14,RG,WB,"∀ x ( Large ( x ) ∧ FrontOf ( a , b ) )","For all x, x is large and a is in front of b.","For all x, x is large and a is in front of b.","For all x, x is large and a is in front of b."
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),There is an element x such that it is not the case that a is a prime or a is a cube.,There is an element x such that it is not the case that a is a prime or a is a cube.,A is not a cube and a is not a prime.
16,RG,NWB,Student ( a ) → ( ( Small ( b ) → Tet ( a ) ) ∧ ∀ x Person ( x ) ),"If a is a student, then if b is small, then a is a tetrahedron and for all x, x is a person.","If a is a student, then all these hold : \n\t• if b is small, then a is a tetrahedron \n\t• for all x, x is a person.","If a is a student, then all these hold : \n\t• if b is small, then a is a tetrahedron \n\t• everything is a person."
17,RG,NWB,"∀ x ∀ x ( SameSize ( x , x ) → Large ( a ) )","For all x, for all x, if x is of the same size as x, then a is large.","For all x, for all x, if x is of the same size as itself, then a is large.",Nothing is of the same size as itself or a is large.
18,RG,NWB,"( ( Cube ( a ) ∧ BackOf ( a , a ) ) ∧ Even ( b ) ) → ∃ x ∀ y Smaller ( a , a )","If a is a cube and a is in back of a and b is even, then there is an element x such that for all y, a is smaller than a.","If a is a cube, a is in back of itself and b is even, then there is an element x such that for all y, a is smaller than itself.","If a is a cube, a is in back of itself and b is even, then a is smaller than itself."
19,RG,NWB,¬ ( ¬ Cube ( a ) → ( Medium ( a ) ∨ Small ( a ) ) ),"It is not the case that if it is not the case that a is a cube, then a is medium or a is small.","It is not the case that if a is not a cube, then a is medium or small.","A is not a cube, a is not small and a is not medium."
20,RG,NWB,"¬ ∀ x Dodec ( a ) ∧ ( ¬ Small ( b ) ∧ ( SameRow ( b , c ) ∨ SameShape ( a , a ) ) )","It is not the case that for all x, a is a dodecahedron and it is not the case that b is small and b is in the same row as c or a is of the same shape as a.","All these hold : \n\t• it is not the case that for all x, a is a dodecahedron, b is not small \n\t• b is in the same row as c or a is of the same shape as itself.","All these hold : \n\t• a is not a dodecahedron, b is not small \n\t• b is in the same row as c or a is of the same shape as itself."
