,Type,Well-behavedness,Formula,Baseline,RantaI,RantaII,Translation 1,Translation 2,Translation 3
21,GGC,WB,"∀ x ( ( Dodec ( x ) ∧ ∀ y ¬ RightOf ( x , y ) ) → ∃ z ( ¬ RightOf ( x , z ) ∧ LeftOf ( x , z ) ) )","For all x, if x is a dodecahedron and for all y, it is not the case that x is to the right of y, then there is an element z such that it is not the case that x is to the right of z and x is to the left of z.","For all x, if x is a dodecahedron and for all y, x is not to the right of y, then there is an element z such that x is not to the right of z and x is to the left of z.","For all dodecahedrons x, x is to the right of something or there is an element z such that x is not to the right of z and x is to the left of z.",RantaII,RantaI,Baseline
22,GGC,WB,"∀ x ∃ y ( Cube ( x ) → ( RightOf ( y , x ) ∧ ¬ ( FrontOf ( y , x ) ∨ BackOf ( y , x ) ) ) )","For all x, there is an element y such that if x is a cube, then y is to the right of x and it is not the case that y is in front of x or y is in back of x.","For all x, there is an element y such that if x is a cube, then y is to the right of x and it is not the case that y is in front of x or in back of x.","For all cubes x, there is an element y such that y is to the right of x, y is not in back of x and y is not in front of x.",Baseline,RantaII,RantaI
23,GGC,NWB,"¬ ∀ x ∀ y ( Tet ( y ) → ( Tet ( x ) → SameCol ( x , y ) ) )","It is not the case that for all x, for all y, if y is a tetrahedron, then if x is a tetrahedron, then x is in the same column as y.","It is not the case that for all x, for all tetrahedrons y, if x is a tetrahedron, then x is in the same column as y.",It is not the case that every tetrahedron is in the same column as every tetrahedron.,RantaII,Baseline,RantaI
24,GGC,WB,"∀ x ( Dodec ( x ) → ∃ w ( Cube ( w ) ∧ SameSize ( x , w ) ) )","For all x, if x is a dodecahedron, then there is an element w such that w is a cube and x is of the same size as w.",Every dodecahedron is of the same size as some cube.,Every dodecahedron is of the same size as some cube.,RantaI,Baseline,RantaII
25,GGC,WB,Large ( 𝗔 ) ∨ Large ( 𝐂 ) ∨ ¬ ( Tet ( 𝗔 ) ∧ Tet ( 𝐂 ) ),𝗔 is large or 𝐂 is large or it is not the case that 𝗔 is a tetrahedron and 𝐂 is a tetrahedron.,"𝗔 is large, 𝐂 is large or it is not the case that 𝗔 is a tetrahedron and 𝐂 is a tetrahedron.","If 𝐂 is a tetrahedron and 𝗔 is a tetrahedron, then 𝗔 or 𝐂 is large.",RantaI,Baseline,RantaII
26,GGC,WB,"∀ x ∀ y ( ( Cube ( x ) ∧ FrontOf ( y , x ) ) → ( Cube ( x ) ∧ Small ( x ) ) )","For all x, for all y, if x is a cube and y is in front of x, then x is a cube and x is small.","For all x, for all y, if x is a cube and y is in front of x, then x is a cube and x is small.","For all x, for all y, if x is a cube and y is in front of x, then x is a cube and x is small.",RantaII,RantaI,Baseline
27,GGC,WB,"Smaller ( 𝗔 , 𝐁 ) ∧ Smaller ( 𝐄 , 𝐁 )",𝗔 is smaller than 𝐁 and 𝐄 is smaller than 𝐁.,𝗔 and 𝐄 are smaller than 𝐁.,𝗔 and 𝐄 are smaller than 𝐁.,RantaII,Baseline,RantaI
28,GGC,WB,¬ ∃ y ( Prime ( y ) ∧ Even ( y ) ),It is not the case that there is an element y such that y is a prime and y is even.,It is not the case that some prime is even.,"For all primes y, y is not even.",Baseline,RantaI,RantaII
29,GGC,WB,"∀ x ( ( Cube ( x ) ∧ Small ( x ) ) → ∃ t ( Large ( t ) ∧ Cube ( t ) ∧ BackOf ( x , t ) ) )","For all x, if x is a cube and x is small, then there is an element t such that t is large and t is a cube and x is in back of t.","For all x, if x is a cube and x is small, then there is an element t such that t is large, t is a cube and x is in back of t.","For all small cubes x, there is an element t such that t is large, t is a cube and x is in back of t.",Baseline,RantaI,RantaII
30,GGC,WB,"¬ ∃ x ( LeftOf ( x , 𝗔 ) ∧ ∃ z ( Smaller ( x , z ) ∧ LeftOf ( z , 𝐁 ) ) )",It is not the case that there is an element x such that x is to the left of 𝗔 and there is an element z such that x is smaller than z and z is to the left of 𝐁.,It is not the case that there is an element x such that x is to the left of 𝗔 and there is an element z such that x is smaller than z and z is to the left of 𝐁.,"For all x, for all z, if x is smaller than z and z is to the left of 𝐁, then x is not to the left of 𝗔.",Baseline,RantaI,RantaII
