,Type,Well-behavedness,Formula,Baseline,RantaI,RantaII,Translation 1,Translation 2,Translation 3
0,GGC,WB,"RightOf ( e , b )",E is to the right of b.,E is to the right of b.,E is to the right of b.,RantaI,Baseline,RantaII
1,GGC,WB,∃ w ( Dodec ( w ) ∧ ¬ Large ( w ) ∧ ¬ Small ( w ) ),There is an element w such that w is a dodecahedron and it is not the case that w is large and it is not the case that w is small.,"There is an element w such that w is a dodecahedron, w is not large and w is not small.",There is a dodecahedron w such that w is not large and w is not small.,RantaII,Baseline,RantaI
2,GGC,WB,"SameCol ( d , a ) ∧ SameCol ( b , e ) ∧ SameRow ( d , e )",D is in the same column as a and b is in the same column as e and d is in the same row as e.,"D is in the same column as a, b is in the same column as e and d is in the same row as e.","D is in the same column as a, b is in the same column as e and d is in the same row as e.",RantaII,Baseline,RantaI
3,GGC,WB,∀ x ∀ y ( Cube ( x ) ∨ Tet ( x ) ∨ Cube ( y ) ∨ Tet ( y ) ),"For all x, for all y, x is a cube or x is a tetrahedron or y is a cube or y is a tetrahedron.","For all x, for all y, x is a cube, x is a tetrahedron, y is a cube or y is a tetrahedron.","For all x, for all y, x is a cube, x is a tetrahedron, y is a cube or y is a tetrahedron.",RantaI,Baseline,RantaII
4,GGC,WB,"∀ z ( ¬ ∃ x FrontOf ( x , z ) → Large ( z ) )","For all z, if it is not the case that there is an element x such that x is in front of z, then z is large.","For all z, if it is not the case that there is an element x such that x is in front of z, then z is large.","For all z, z is large or something is in front of z.",RantaI,RantaII,Baseline
5,GGC,WB,"∀ x ∀ y ( Cube ( x ) → ¬ ( RightOf ( x , y ) ∧ Cube ( y ) ) )","For all x, for all y, if x is a cube, then it is not the case that x is to the right of y and y is a cube.","For all x, for all y, if x is a cube, then it is not the case that x is to the right of y and y is a cube.","For all cubes x, for all cubes y, x is not to the right of y.",RantaI,Baseline,RantaII
6,GGC,WB,"∀ x ( Dodec ( x ) → ( ∃ y RightOf ( y , x ) ∨ ∃ z LeftOf ( z , x ) ) )","For all x, if x is a dodecahedron, then there is an element y such that y is to the right of x or there is an element z such that z is to the left of x.","For all dodecahedrons x, there is an element y such that y is to the right of x or there is an element z such that z is to the left of x.","For all dodecahedrons x, something is to the right of x or something is to the left of x.",Baseline,RantaI,RantaII
7,GGC,WB,"∀ y ¬ ∀ x Larger ( y , x )","For all y, it is not the case that for all x, y is larger than x.","For all y, it is not the case that for all x, y is larger than x.",Nothing is larger than everything.,RantaI,RantaII,Baseline
8,GGC,NWB,"∀ x ( Dodec ( x ) → ∀ y ( ( LeftOf ( x , y ) ∧ Cube ( y ) ) → Large ( x ) ) )","For all x, if x is a dodecahedron, then for all y, if x is to the left of y and y is a cube, then x is large.","For all dodecahedrons x, for all y, if x is to the left of y and y is a cube, then x is large.","For all dodecahedrons x, if x is to the left of some cube, then x is large.",Baseline,RantaI,RantaII
9,GGC,WB,"∀ v ∃ w ( Dodec ( v ) → ( Smaller ( v , w ) ∧ Tet ( w ) ) )","For all v, there is an element w such that if v is a dodecahedron, then v is smaller than w and w is a tetrahedron.","For all v, there is an element w such that if v is a dodecahedron, then v is smaller than w and w is a tetrahedron.",Every dodecahedron is smaller than some tetrahedron.,Baseline,RantaI,RantaII
10,RG,NWB,"∃ x ¬ ¬ LeftOf ( x , a )",There is an element x such that it is not the case that it is not the case that x is to the left of a.,There is an element x such that it is not the case that x is not to the left of a.,Something is to the left of a.,RantaII,RantaI,Baseline
11,RG,WB,"∃ x ( ( Prime ( x ) ∨ Person ( a ) ) ∧ ( SameRow ( x , b ) ∧ Student ( x ) ) )",There is an element x such that x is a prime or a is a person and x is in the same row as b and x is a student.,"There is an element x such that all these hold : \n\t• x is a prime or a is a person, x is in the same row as b \n\t• x is a student.",There is a student x such that all these hold : \n\t• a is a person or x is a prime \n\t• x is in the same row as b.,RantaI,RantaII,Baseline
12,RG,NWB,"¬ ( ¬ Dodec ( a ) ∨ ∃ x BackOf ( x , x ) )",It is not the case that it is not the case that a is a dodecahedron or there is an element x such that x is in back of x.,It is not the case that a is not a dodecahedron or there is an element x such that x is in back of itself.,Nothing is in back of itself and a is a dodecahedron.,RantaI,RantaII,Baseline
13,RG,NWB,"Medium ( a ) → ∀ x ¬ SameSize ( b , a )","If a is medium, then for all x, it is not the case that b is of the same size as a.","If a is medium, then for all x, b is not of the same size as a.",B is not of the same size as a or a is not medium.,RantaII,Baseline,RantaI
14,RG,WB,"∀ x ( ( Large ( x ) ∧ FrontOf ( a , b ) ) ∧ ¬ Large ( x ) )","For all x, x is large and a is in front of b and it is not the case that x is large.","For all x, x is large, a is in front of b and x is not large.","For all x, x is large, a is in front of b and x is not large.",RantaII,Baseline,RantaI
15,RG,NWB,∃ x ¬ ( Prime ( a ) ∨ Cube ( a ) ),There is an element x such that it is not the case that a is a prime or a is a cube.,There is an element x such that it is not the case that a is a prime or a is a cube.,A is not a cube and a is not a prime.,RantaI,RantaII,Baseline
16,RG,NWB,Student ( a ) → ( ( Small ( b ) → Tet ( a ) ) ∧ ∀ x Person ( x ) ),"If a is a student, then if b is small, then a is a tetrahedron and for all x, x is a person.","If a is a student, then all these hold : \n\t• if b is small, then a is a tetrahedron \n\t• for all x, x is a person.","If a is a student, then all these hold : \n\t• if b is small, then a is a tetrahedron \n\t• everything is a person.",Baseline,RantaI,RantaII
